mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.44623883565266925,0.05545788950875601,0.03470349311828613,0.01551847416132979,,1,2,50,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.975,0.9,0.975,0.9500000000000001,0.035355339059327355,43
0.9563248157501221,0.08449322339572626,0.07022611300150554,0.02293938388283212,,1,2,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.975,0.925,0.975,0.9583333333333334,0.023570226039551553,4
1.133955478668213,0.14971252148925213,0.05148665110270182,0.002869492724966255,,1,2,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.95,0.875,0.975,0.9333333333333332,0.04249182927993986,106
0.2910603682200114,0.06701200798425168,0.022161165873209637,0.0064548579816423625,,1,5,50,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.975,0.9,0.975,0.9500000000000001,0.035355339059327355,43
0.4073955217997233,0.013183133712217555,0.025345643361409504,0.007432024077547484,,1,5,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.975,0.9,0.975,0.9500000000000001,0.035355339059327355,43
1.1007023652394612,0.22184292823719498,0.12282808621724446,0.0751729777419364,,1,5,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.975,0.925,0.975,0.9583333333333334,0.023570226039551553,4
0.3112243016560872,0.05110188800417807,0.03683121999104818,0.020480847902429797,,1,10,50,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",0.975,0.9,0.975,0.9500000000000001,0.035355339059327355,43
0.9897657235463461,0.19100896496744552,0.07000533739725749,0.016245271157167545,,1,10,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.975,0.9,0.975,0.9500000000000001,0.035355339059327355,43
1.929867188135783,0.11697382602175313,0.09436289469401042,0.0283065740506675,,1,10,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.975,0.9,0.975,0.9500000000000001,0.035355339059327355,43
0.3553291956583659,0.05215796719118655,0.02203996976216634,0.005006499071338321,,2,2,50,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",1.0,0.9,0.975,0.9583333333333334,0.04249182927993986,4
0.6090326309204102,0.13386304942925936,0.034979025522867836,0.0036942073301865653,,2,2,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.975,0.925,0.975,0.9583333333333334,0.023570226039551553,4
1.0602717399597168,0.09247973723207878,0.026268800099690754,0.0013378894533080696,,2,2,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.975,0.9,0.975,0.9500000000000001,0.035355339059327355,43
0.19647892316182455,0.09155393482461277,0.02671043078104655,0.014775328755099678,,2,5,50,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.975,0.875,0.975,0.9416666666666668,0.04714045207910316,81
0.38225793838500977,0.028355631346875885,0.031703551610310875,0.0030785560342844703,,2,5,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",1.0,0.9,0.975,0.9583333333333334,0.04249182927993986,4
0.6990454991658529,0.1595725228885407,0.027725617090861004,0.0017449269855547745,,2,5,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.975,0.9,0.975,0.9500000000000001,0.035355339059327355,43
0.11783425013224284,0.0014824867035516875,0.009171326955159506,0.00016667673691108227,,2,10,50,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.975,0.875,0.975,0.9416666666666668,0.04714045207910316,81
0.233380397160848,0.0009661979978701152,0.015480677286783854,0.0008973707997737538,,2,10,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.975,0.925,0.975,0.9583333333333334,0.023570226039551553,4
0.48011136054992676,0.011045957277167728,0.027264753977457683,0.001251943599392917,,2,10,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",0.975,0.875,0.975,0.9416666666666668,0.04714045207910316,81
0.11643012364705403,0.0007013465324797423,0.009142557779947916,5.683315294783727e-05,,4,2,50,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",0.975,0.925,0.975,0.9583333333333334,0.023570226039551553,4
0.2390451431274414,0.0028236165879404447,0.016367038091023762,0.001787767682481072,,4,2,100,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",0.975,0.9,0.975,0.9500000000000001,0.035355339059327355,43
0.4734508991241455,0.014196494449977696,0.027422269185384113,0.0019639776854813206,,4,2,200,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",0.975,0.925,0.975,0.9583333333333334,0.023570226039551553,4
